year,title,author,price,Shortlist/Longlist/Winner,ISBN-10,date,ISBN-13
2017,Ninefox Gambit,Yoon Ha Lee,Hugo Award,Shortlist,1849979928,8/11/2017,9781849979924
2017,A Closed and Common Orbit,Becky Chambers,Hugo Award,Shortlist,1473621453,8/11/2017,9781473621459
2017,Too Like the Lightning,Ada Palmer,Hugo Award,Shortlist,1466858745,8/11/2017,9781466858749
2017,Death’s End,"Cixin Liu, Ken Liu (Übersetzer)",Hugo Award,Shortlist,146685345X,8/11/2017,9781466853454
2018,The Stone Sky,N.K. Jemisin,Hugo Award,Winner,1793636648,8/19/2018,9781793636645
2018,The Collapsing Empire,John Scalzi,Hugo Award,Shortlist,1509835083,8/19/2018,9781509835089
2018,Provenance,Ann Leckie,Hugo Award,Shortlist,0356506975,8/19/2018,9780356506975
2018,Six Wakes,Mur Lafferty,Hugo Award,Shortlist,0316389668,8/19/2018,9780316389662
2018,Raven Stratagem,Yoon Ha Lee,Hugo Award,Shortlist,1786180464,8/19/2018,9781786180469
2018,New York 2140,Kim Stanley Robinson,Hugo Award,Shortlist,0356508773,8/19/2018,9780356508771
2019,The Calculating Stars,Mary Robinette Kowal,Hugo Award,Winner,146686124X,8/18/2019,9781466861244
2019,Spinning Silver,Naomi Novik,Hugo Award,Shortlist,1509899030,8/18/2019,9781509899036
2019,Record of a Spaceborn Few,Becky Chambers,Hugo Award,Shortlist,1473647622,8/18/2019,9781473647626
2019,Trail of Lightning,Rebecca Roanhorse,Hugo Award,Shortlist,1529346673,8/18/2019,9781529346671
2019,Revenant Gun,Yoon Ha Lee,Hugo Award,Shortlist,178618110X,8/18/2019,9781786181107
2019,Space Opera,Catherynne M. Valente,Hugo Award,Shortlist,1481497502,8/18/2019,9781481497503
2020,A Memory Called Empire,Arkady Martine,Hugo Award,Winner,1529001609,8/1/2020,9781529001600
2020,Middlegame,Seanan McGuire,Hugo Award,Shortlist,1250195519,8/1/2020,9781250195517
2020,Gideon the Ninth,Tamsyn Muir,Hugo Award,Shortlist,1250313171,8/1/2020,9781250313171
2020,The Light Brigade,Kameron Hurley,Hugo Award,Shortlist,148144798X,8/1/2020,9781481447980
2020,The City in the Middle of the Night,Charlie Jane Anders,Hugo Award,Shortlist,146687113X,8/1/2020,9781466871137
2020,The Ten Thousand Doors of January,Alix E. Harrow,Hugo Award,Shortlist,0356512436,8/1/2020,9780356512433
2021,Network Effect,Martha Wells,Hugo Award,Winner,1250229847,12/18/2021,9781250229847
2021,The City We Became,N.K. Jemisin,Hugo Award,Shortlist,0356512657,12/19/2021,9780356512655
2021,Piranesi,Susanna Clarke,Hugo Award,Shortlist,1526622440,12/20/2021,9781526622440
2021,Black Sun,Rebecca Roanhorse,Hugo Award,Shortlist,153443769X,12/21/2021,9781534437692
2021,The Relentless Moon,Mary Robinette Kowal,Hugo Award,Shortlist,1250236487,12/22/2021,9781250236487
2021,Harrow The Ninth,Tamsyn Muir,Hugo Award,Shortlist,1250313201,12/22/2021,9781250313201
2022,A Desolation Called Peace,Arkady Martine,Hugo Award,Winner,125018648X,9/4/2022,9781250186485
2022,"The Galaxy, and the Ground Within",Becky Chambers,Hugo Award,Shortlist,1473647657,9/4/2022,9781473647657
2022,Light From Uncommon Stars,Ryka Aoki,Hugo Award,Shortlist,1250789079,9/4/2022,9781250789075
2022,A Master of Djinn,P. Djèlí Clark,Hugo Award,Shortlist,0356516873,9/4/2022,9780356516875
2022,Project Hail Mary,Andy Weir,Hugo Award,Shortlist,0593135210,9/4/2022,9780593135211
2022,She Who Became the Sun,Shelley Parker-Chan,Hugo Award,Shortlist,1250621798,9/4/2022,9781250621795
2023,Nettle & Bone,T. Kingfisher,Hugo Award,Winner,1466981024,10/21/2023,9781466981027
2023,The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Hugo Award,Shortlist,0593355342,10/21/2023,9780593355343
2023,The Kaiju Preservation Society,John Scalzi,Hugo Award,Shortlist,0765389134,10/21/2023,9780765389138
2023,Legends & Lattes,Travis Baldree,Hugo Award,Shortlist,0486288706,10/21/2023,9780486288703
2023,Nona the Ninth,Tamsyn Muir,Hugo Award,Shortlist,1250854121,10/21/2023,9781250854124
2023,The Spare Man,Mary Robinette Kowal,Hugo Award,Shortlist,1786188325,10/21/2023,9781786188328
2024,Some Desperate Glory,Emily Tesh,Hugo Award,Winner,1250834996,8/11/2024,9781250834997
2024,The Adventures of Amina al-Sirafi,Shannon Chakraborty,Hugo Award,Shortlist,006296352X,8/11/2024,9780062963529
2024,The Saint of Bright Doors,Vajra Chandrasekera,Hugo Award,Shortlist,1837863199,8/11/2024,9781837863198
2024,Starter Villain,John Scalzi,Hugo Award,Shortlist,0765389231,8/11/2024,9780765389237
2024,Translation State,Ann Leckie,Hugo Award,Shortlist,0356517942,8/11/2024,9780356517940
2024,Witch King,Martha Wells,Hugo Award,Shortlist,1250826802,8/11/2024,9781250826800
,,,,,,,
2009,Du stirbst nicht,Kathrin Schmidt,Deutscher Buchpreis,Winner,3462301845,10/12/2009,9783462301847
2009,Lichtjahre entfernt,Rainer Merkel,Deutscher Buchpreis,Shortlist,3104000611,10/12/2009,9783104000619
2009,Atemschaukel,Herta Müller,Deutscher Buchpreis,Shortlist,3596512034,10/12/2009,9783596512034
2009,Überm Rauschen,Norbert Scheuer,Deutscher Buchpreis,Shortlist,3406590721,10/12/2009,9783406590726
2009,Die Frequenzen,Clemens J. Setz,Deutscher Buchpreis,Shortlist,3701742219,10/12/2009,9783701742219
2009,Grenzgang,Stephan Thome,Deutscher Buchpreis,Shortlist,351876957X,10/12/2009,9783518769577
2009,Der Mann schläft,Sibylle Berg,Deutscher Buchpreis,Longlist,3446244506,10/12/2009,9783446244504
2009,Wie wir verschwinden,Mirko Bonné,Deutscher Buchpreis,Longlist,3596187648,10/12/2009,9783596187645
2009,Das Leben der Wünsche,Thomas Glavinic,Deutscher Buchpreis,Longlist,3446233903,10/12/2009,9783446233904
2009,Der Brenner und der liebe Gott,Wolf Haas,Deutscher Buchpreis,Longlist,3423212829,10/12/2009,9783423212823
2009,Welt aus Glas,Ernst-Wilhelm Händler,Deutscher Buchpreis,Longlist,3627010272,10/12/2009,9783627010270
2009,Kürzere Tage,Anna Katharina Hahn,Deutscher Buchpreis,Longlist,3518735705,10/12/2009,9783518735701
2009,Die Stille,Reinhard Jirgl,Deutscher Buchpreis,Longlist,9401203865,10/12/2009,9789401203869
2009,Zwei schwarze Jäger,Brigitte Kronauer,Deutscher Buchpreis,Longlist,3608104232,10/12/2009,9783608104233
2009,Der einzige Mann auf dem Kontinent,Terézia Mora,Deutscher Buchpreis,Longlist,3641037158,10/12/2009,9783641037154
2009,Flughafenfische,Angelika Overath,Deutscher Buchpreis,Longlist,3641026318,10/12/2009,9783641026318
2009,Sieben Jahre,Peter Stamm,Deutscher Buchpreis,Longlist,3104000743,10/12/2009,9783104000749
2009,Was kommt,Thomas Stangl,Deutscher Buchpreis,Longlist,3442733758,10/12/2009,9783442733750
2009,Vier Äpfel,David Wagner,Deutscher Buchpreis,Longlist,,10/12/2009,
2009,Einer von vielen,Norbert Zähringer,Deutscher Buchpreis,Longlist,3644003610,10/12/2009,9783644003613
2010,Tauben fliegen auf,Melinda Nadj Abonji,Deutscher Buchpreis,Winner,3518735926,10/4/2010,9783518735923
2010,Georgs Sorgen um die Vergangenheit oder im Reich des heiligen Hodensack-Bimbams von Prag,Jan Faktor,Deutscher Buchpreis,Shortlist,346230190X,10/4/2010,9783462301908
2010,September. Fata Morgana,Thomas Lehr,Deutscher Buchpreis,Shortlist,3446236716,10/4/2010,9783446236714
2010,Andernorts,Doron Rabinovici,Deutscher Buchpreis,Shortlist,3518463101,10/4/2010,9783518463109
2010,Rabenliebe,Peter Wawerzinek,Deutscher Buchpreis,Shortlist,3462302043,10/4/2010,9783462302042
2010,"Dinge, die wir heute sagten",Judith Zander,Deutscher Buchpreis,Shortlist,3423413263,10/4/2010,9783423413268
2010,Die schärfsten Gerichte der tatarischen Küche,Alina Bronsky,Deutscher Buchpreis,Longlist,3462301896,10/4/2010,9783462301892
2010,Juja,Nino Haratischwili,Deutscher Buchpreis,Longlist,395732064X,10/4/2010,9783957320643
2010,Die Liebe der Väter,Thomas Hettche,Deutscher Buchpreis,Longlist,3442742889,10/4/2010,9783442742882
2010,Das amerikanische Hospital,Michael Kleeberg,Deutscher Buchpreis,Longlist,3641048796,10/4/2010,9783641048792
2010,Madalyn,Michael Köhlmeier,Deutscher Buchpreis,Longlist,3446245693,10/4/2010,9783446245693
2010,Die Herrenausstatterin,Mariana Leky,Deutscher Buchpreis,Longlist,3832185445,10/4/2010,9783832185442
2010,Meeresstille,Nicol Ljubić,Deutscher Buchpreis,Longlist,3455402569,10/4/2010,9783455402568
2010,Das war ich nicht,Kristof Magnusson,Deutscher Buchpreis,Longlist,3888976669,10/4/2010,9783888976667
2010,Das Zimmer,Andreas Maier,Deutscher Buchpreis,Longlist,3518466895,10/4/2010,9783518466896
2010,Sogar Papageien überleben uns,Olga Martynova,Deutscher Buchpreis,Longlist,3739276878,10/4/2010,9783739276878
2010,Was davor geschah,Martin Mosebach,Deutscher Buchpreis,Longlist,3446235620,10/4/2010,9783446235625
2010,Kokoschkins Reise,Hans Joachim Schädlich,Deutscher Buchpreis,Longlist,3644538417,10/4/2010,9783644538412
2010,Wir vier,Andreas Schäfer,Deutscher Buchpreis,Longlist,3832185453,10/4/2010,9783832185459
2010,Der Ministerpräsident,Joachim Zelter,Deutscher Buchpreis,Longlist,,10/4/2010,
2011,In Zeiten des abnehmenden Lichts,Eugen Ruge,Deutscher Buchpreis,Winner,3644014116,10/10/2011,9783644014114
2011,Gegen die Welt,Jan Brandt,Deutscher Buchpreis,Shortlist,3832162186,10/10/2011,9783832162184
2011,Wunsiedel,Michael Buselmeier,Deutscher Buchpreis,Shortlist,3884233904,10/10/2011,9783884233900
2011,Das Mädchen,Angelika Klüssendorf,Deutscher Buchpreis,Shortlist,,10/10/2011,
2011,Blumenberg,Sibylle Lewitscharoff,Deutscher Buchpreis,Shortlist,3518763105,10/10/2011,9783518763100
2011,Die Schmerzmacherin,Marlene Streeruwitz,Deutscher Buchpreis,Shortlist,3104013861,10/10/2011,9783104013862
2011,Letzte Fischer,Volker Altwasser,Deutscher Buchpreis,Longlist,3882215542,10/10/2011,9783882215540
2011,Léon und Louise,Alex Capus,Deutscher Buchpreis,Longlist,3446236929,10/10/2011,9783446236929
2011,Wenn wir Tiere wären,Wilhelm Genazino,Deutscher Buchpreis,Longlist,3446238301,10/10/2011,9783446238305
2011,Dein Name,Navid Kermani,Deutscher Buchpreis,Longlist,3446247149,10/10/2011,9783446247147
2011,Banatsko,Esther Kinsky,Deutscher Buchpreis,Longlist,,10/10/2011,
2011,Gruber geht,Doris Knecht,Deutscher Buchpreis,Longlist,3644108315,10/10/2011,9783644108318
2011,Vorabend,Peter Kurzeck,Deutscher Buchpreis,Longlist,,10/10/2011,
2011,Verfahren,Ludwig Laher,Deutscher Buchpreis,Longlist,3709974534,10/10/2011,9783709974537
2011,Sickster,Thomas Melle,Deutscher Buchpreis,Longlist,3644109915,10/10/2011,9783644109919
2011,Sunset,Klaus Modick,Deutscher Buchpreis,Longlist,3462306839,10/10/2011,9783462306835
2011,Adams Erbe,Astrid Rosenfeld,Deutscher Buchpreis,Longlist,3257602421,10/10/2011,9783257602425
2011,Der Hals der Giraffe,Judith Schalansky,Deutscher Buchpreis,Longlist,3518757008,10/10/2011,9783518757000
2011,Hasenleben,Jens Steiner,Deutscher Buchpreis,Longlist,3908778018,10/10/2011,9783908778011
2011,Sturz der Tage in die Nacht,Antje Rávic Strubel,Deutscher Buchpreis,Longlist,3104016003,10/10/2011,9783104016009
2012,Landgericht,Ursula Krechel,Deutscher Buchpreis,Winner,3442746493,10/8/2012,9783442746491
2012,Robinsons blaues Haus,Ernst Augustin,Deutscher Buchpreis,Shortlist,3406629962,10/8/2012,9783406629969
2012,Sand,Wolfgang Herrndorf,Deutscher Buchpreis,Shortlist,,10/8/2012,
2012,Indigo,Clemens J. Setz,Deutscher Buchpreis,Shortlist,3518788507,10/8/2012,9783518788509
2012,Fliehkräfte,Stephan Thome,Deutscher Buchpreis,Shortlist,3518423258,10/8/2012,9783518423257
2012,Nichts Weißes,Ulf Erdmann Ziegler,Deutscher Buchpreis,Shortlist,3518790404,10/8/2012,9783518790403
2012,Gutgeschriebene Verluste,Bernd Cailloux,Deutscher Buchpreis,Longlist,3518781707,10/8/2012,9783518781708
2012,Aller Tage Abend,Jenny Erpenbeck,Deutscher Buchpreis,Longlist,3641081491,10/8/2012,9783641081492
2012,Ich nannte ihn Krawatte,Milena Michiko Flašar,Deutscher Buchpreis,Longlist,3803141362,10/8/2012,9783803141361
2012,Johann Holtrop,Rainald Goetz,Deutscher Buchpreis,Longlist,,10/8/2012,
2012,"Der Russe ist einer, der Birken liebt",Olga Grjasnowa,Deutscher Buchpreis,Longlist,3446239219,10/8/2012,9783446239210
2012,Die Liebe in groben Zügen,Bodo Kirchhoff,Deutscher Buchpreis,Longlist,3627021878,10/8/2012,9783627021870
2012,Scherbengericht,Germán Kratochwil,Deutscher Buchpreis,Longlist,3711750877,10/8/2012,9783711750877
2012,Bugatti taucht auf,Dea Loher,Deutscher Buchpreis,Longlist,3835310542,10/8/2012,9783835310544
2012,"Heimlich, heimlich mich vergiss",Angelika Meier,Deutscher Buchpreis,Longlist,303734184X,10/8/2012,9783037341841
2012,Weitlings Sommerfrische,Sten Nadolny,Deutscher Buchpreis,Longlist,3492956076,10/8/2012,9783492956079
2012,Wir in Kahlenbeck,Christoph Peters,Deutscher Buchpreis,Longlist,3641090407,10/8/2012,9783641090401
2012,Die Laute,Michael Roes,Deutscher Buchpreis,Longlist,3882211636,10/8/2012,9783882211634
2012,Sunrise – Das Buch Joseph,Patrick Roth,Deutscher Buchpreis,Longlist,3835322680,10/8/2012,9783835322684
2012,Onno Viets und der Irre vom Kiez,Frank Schulz,Deutscher Buchpreis,Longlist,346230531X,10/8/2012,9783462305319
2013,Das Ungeheuer,Terézia Mora,Deutscher Buchpreis,Winner,3641591392,10/7/2013,9783641591397
2013,Nie mehr Nacht,Mirko Bonné,Deutscher Buchpreis,Shortlist,3731760010,10/7/2013,9783731760016
2013,Nichts von euch auf Erden,Reinhard Jirgl,Deutscher Buchpreis,Shortlist,3423143681,10/7/2013,9783423143684
2013,Im Stein,Clemens Meyer,Deutscher Buchpreis,Shortlist,310402815X,10/7/2013,9783104028156
2013,Die Sonnenposition,Marion Poschmann,Deutscher Buchpreis,Shortlist,3518734601,10/7/2013,9783518734605
2013,Die Ordnung der Sterne über Como,Monika Zeiner,Deutscher Buchpreis,Shortlist,3841205976,10/7/2013,9783841205971
2013,Soutines letzte Fahrt,Ralph Dutli,Deutscher Buchpreis,Longlist,3835312081,10/7/2013,9783835312081
2013,Das größere Wunder,Thomas Glavinic,Deutscher Buchpreis,Longlist,3446244336,10/7/2013,9783446244337
2013,Eine Ahnung vom Anfang,Norbert Gstrein,Deutscher Buchpreis,Longlist,3423144041,10/7/2013,9783423144049
2013,F,Daniel Kehlmann,Deutscher Buchpreis,Longlist,3499249278,10/7/2013,9783499249273
2013,Wünsche,Judith Kuckart,Deutscher Buchpreis,Longlist,3832187073,10/7/2013,9783832187071
2013,Der wahre Sohn,Olaf Kühl,Deutscher Buchpreis,Longlist,3871347264,10/7/2013,9783871347269
2013,Unter der Hand,Dagmar Leupold,Deutscher Buchpreis,Longlist,3990270443,10/7/2013,9783990270448
2013,Frühling der Barbaren,Jonas Lüscher,Deutscher Buchpreis,Longlist,3406646956,10/7/2013,9783406646959
2013,"Wann wird es endlich wieder so, wie es nie war",Joachim Meyerhoff,Deutscher Buchpreis,Longlist,3462306855,10/7/2013,9783462306859
2013,Regeln des Tanzes,Thomas Stangl,Deutscher Buchpreis,Longlist,3854209355,10/7/2013,9783854209355
2013,Carambole,Jens Steiner,Deutscher Buchpreis,Longlist,3908778336,10/7/2013,9783908778332
2013,Vogelweide,Uwe Timm,Deutscher Buchpreis,Longlist,3462307185,10/7/2013,9783462307184
2013,Berlin liegt im Osten,Nellja Veremej,Deutscher Buchpreis,Longlist,3990271040,10/7/2013,9783990271049
2013,Reise an den Rand des Universums,Urs Widmer,Deutscher Buchpreis,Longlist,325760338X,10/7/2013,9783257603385
2014,Kruso,Lutz Seiler,Deutscher Buchpreis,Winner,3518739360,10/6/2014,9783518739365
2014,Pfaueninsel,Thomas Hettche,Deutscher Buchpreis,Shortlist,3462308270,10/6/2014,9783462308273
2014,April,Angelika Klüssendorf,Deutscher Buchpreis,Shortlist,3492607225,10/6/2014,9783492607223
2014,Panischer Frühling,Gertrud Leutenegger,Deutscher Buchpreis,Shortlist,3518753452,10/6/2014,9783518753453
2014,3000 Euro,Thomas Melle,Deutscher Buchpreis,Shortlist,3644109915,10/6/2014,9783644109919
2014,Der Allesforscher,Heinrich Steinfest,Deutscher Buchpreis,Shortlist,3492964699,10/6/2014,9783492964692
2014,Koala,Lukas Bärfuss,Deutscher Buchpreis,Longlist,3835325965,10/6/2014,9783835325968
